candidate,family,profile_name,seed,timesteps,train_seconds,reward_overrides,config_overrides,runtime_overrides,effective_config,effective_runtime,mean_terminal_potential_metric,mean_terminal_path_ready,mean_scharf_dependency_progress,mean_scharf_research_progress,mean_scharf_construction_progress,mean_step_unlock_progress_metric,mean_step_required_buildings_completed,mean_step_required_techs_completed,mean_step_taler_income_per_cycle,mean_scharfschuetzen,mean_episode_length
custom_unlock_balanced,adaptive_reward,goal_v1,0,32,8.889046430587769,"{'terminal_dependency_bonus': 2.0, 'terminal_recruitable_bonus': 4.0, 'step_delta_progress_bonus': 0.8, 'step_delta_dependency_bonus': 0.4, 'step_delta_research_bonus': 0.4, 'step_delta_construction_bonus': 0.4, 'step_unlock_recruitable_bonus': 8.0, 'step_worker_growth_bonus': 0.05, 'action_buy_serf_growth_bonus': 0.05, 'action_assign_spawned_serf_bonus': 0.02, 'step_time_penalty': 0.001}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1062.75
custom_path_ready_bounty,adaptive_reward,goal_v1,0,32,4.767135381698608,"{'terminal_dependency_bonus': 2.0, 'terminal_path_ready_bonus': 12.0, 'terminal_recruitable_bonus': 2.0, 'step_delta_progress_bonus': 0.5, 'step_unlock_milestone_bonus': 3.0, 'step_unlock_milestone_count': 6.0, 'step_path_ready_bonus': 24.0, 'step_required_building_complete_bonus': 8.0, 'step_required_tech_complete_bonus': 10.0, 'step_delta_research_bonus': 0.6, 'step_delta_construction_bonus': 0.6, 'step_time_penalty': 0.001}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1062.5
custom_requirement_milestones,adaptive_reward,goal_v1,0,32,4.511537551879883,"{'terminal_dependency_bonus': 3.0, 'terminal_path_ready_bonus': 8.0, 'step_progress_mix_dependency': 1.0, 'step_progress_mix_research': 2.0, 'step_progress_mix_construction': 2.0, 'step_delta_progress_bonus': 0.6, 'step_unlock_milestone_bonus': 4.0, 'step_unlock_milestone_count': 8.0, 'step_required_building_complete_bonus': 7.0, 'step_required_tech_complete_bonus': 9.0, 'step_delta_research_bonus': 0.8, 'step_delta_construction_bonus': 0.8, 'step_time_penalty': 0.0015}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1062.5
custom_income_bridge,adaptive_reward,goal_v1,0,32,4.79035496711731,"{'terminal_dependency_bonus': 1.5, 'terminal_path_ready_bonus': 6.0, 'terminal_potential_bonus_per_unit': 4.0, 'step_delta_progress_bonus': 0.3, 'step_required_building_complete_bonus': 3.0, 'step_required_tech_complete_bonus': 4.0, 'step_worker_growth_bonus': 0.12, 'step_delta_taler_income_bonus': 0.04, 'action_buy_serf_growth_bonus': 0.18, 'action_assign_spawned_serf_bonus': 0.08, 'step_path_ready_bonus': 10.0, 'step_time_penalty': 0.0}","{'learning_rate': 0.0003, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.015}",{},"{'learning_rate': 0.0003, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.015}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1006.25
custom_short_unlock_curriculum,adaptive_reward,curriculum_unlock,0,32,5.459995746612549,"{'terminal_dependency_bonus': 3.0, 'terminal_path_ready_bonus': 12.0, 'step_delta_progress_bonus': 0.8, 'step_unlock_milestone_bonus': 4.0, 'step_unlock_milestone_count': 5.0, 'step_required_building_complete_bonus': 10.0, 'step_required_tech_complete_bonus': 12.0, 'step_path_ready_bonus': 28.0, 'step_delta_research_bonus': 1.0, 'step_delta_construction_bonus': 1.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.0003, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.02}","{'max_time_override': 450, 'count_completed_actions_only': True}","{'learning_rate': 0.0003, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.02}","{'use_spatial_obs': False, 'count_completed_actions_only': True, 'net_arch': [64], 'policy_mode': 'ppo', 'max_time_override': 450}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,783.5
custom_short_requirement_sprint,adaptive_reward,curriculum_unlock,0,32,5.842797517776489,"{'terminal_dependency_bonus': 2.0, 'terminal_path_ready_bonus': 8.0, 'step_delta_progress_bonus': 0.5, 'step_unlock_milestone_bonus': 5.0, 'step_unlock_milestone_count': 4.0, 'step_required_building_complete_bonus': 12.0, 'step_required_tech_complete_bonus': 12.0, 'step_path_ready_bonus': 18.0, 'step_time_penalty': 0.0}","{'learning_rate': 0.0003, 'n_steps': 32, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.02}","{'max_time_override': 300, 'count_completed_actions_only': True}","{'learning_rate': 0.0003, 'n_steps': 32, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.02}","{'use_spatial_obs': False, 'count_completed_actions_only': True, 'net_arch': [64], 'policy_mode': 'ppo', 'max_time_override': 300}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,548.75
custom_dual_phase_stock_after_path,adaptive_reward,goal_v1,0,32,4.736794710159302,"{'terminal_dependency_bonus': 1.5, 'terminal_path_ready_bonus': 10.0, 'terminal_potential_bonus_per_unit': 10.0, 'step_delta_potential_bonus': 0.6, 'step_new_resource_potential_unit_bonus': 1.0, 'step_delta_progress_bonus': 0.3, 'step_unlock_milestone_bonus': 2.5, 'step_required_building_complete_bonus': 4.0, 'step_required_tech_complete_bonus': 5.0, 'step_path_ready_bonus': 20.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.0002, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.0002, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1025.25
custom_unlock_research,adaptive_reward,goal_v1,0,32,4.5185136795043945,"{'terminal_dependency_bonus': 2.5, 'terminal_recruitable_bonus': 5.0, 'step_progress_mix_dependency': 0.5, 'step_progress_mix_research': 3.0, 'step_progress_mix_construction': 1.0, 'step_delta_progress_bonus': 0.9, 'step_delta_research_bonus': 1.5, 'step_delta_construction_bonus': 0.3, 'step_delta_dependency_bonus': 0.3, 'step_unlock_recruitable_bonus': 10.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1062.5
custom_unlock_construction,adaptive_reward,goal_v1,0,32,4.420378923416138,"{'terminal_dependency_bonus': 2.5, 'terminal_recruitable_bonus': 5.0, 'step_progress_mix_dependency': 0.5, 'step_progress_mix_research': 1.0, 'step_progress_mix_construction': 3.0, 'step_delta_progress_bonus': 0.9, 'step_delta_research_bonus': 0.3, 'step_delta_construction_bonus': 1.5, 'step_delta_dependency_bonus': 0.3, 'step_unlock_recruitable_bonus': 10.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1062.5
custom_dependency_heavy,adaptive_reward,goal_v1,0,32,5.153358221054077,"{'terminal_dependency_bonus': 3.0, 'terminal_recruitable_bonus': 6.0, 'step_progress_mix_dependency': 3.0, 'step_progress_mix_research': 1.0, 'step_progress_mix_construction': 1.0, 'step_delta_progress_bonus': 1.0, 'step_delta_dependency_bonus': 1.8, 'step_delta_research_bonus': 0.2, 'step_delta_construction_bonus': 0.2, 'step_unlock_recruitable_bonus': 12.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1062.5
